power [kw],Time
386.76,2020 01 19 20:00:00
212.16,2020 01 19 21:00:00
48.71,2020 01 19 22:00:00
176.83,2020 01 19 23:00:00
99.58,2020 01 20 00:00:00
58.64,2020 01 20 01:00:00
81.89,2020 01 20 02:00:00
84.27,2020 01 20 03:00:00
115.06,2020 01 20 04:00:00
138.52,2020 01 20 05:00:00
251.5,2020 01 20 06:00:00
224.61,2020 01 20 07:00:00
415.1,2020 01 20 08:00:00
519.03,2020 01 20 09:00:00
494.38,2020 01 20 10:00:00
571.56,2020 01 20 11:00:00
521.5,2020 01 20 12:00:00
513.63,2020 01 20 13:00:00
503.97,2020 01 20 14:00:00
495.78,2020 01 20 15:00:00
506.33,2020 01 20 16:00:00
536.67,2020 01 20 17:00:00
501.98,2020 01 20 18:00:00
445.17,2020 01 20 19:00:00
373.01,2020 01 20 20:00:00
201.12,2020 01 20 21:00:00
44.66,2020 01 20 22:00:00
177.48,2020 01 20 23:00:00
92.47,2020 01 21 00:00:00
55.49,2020 01 21 01:00:00
77.06,2020 01 21 02:00:00
77.68,2020 01 21 03:00:00
72.01,2020 01 21 04:00:00
93.0,2020 01 21 05:00:00
164.14,2020 01 21 06:00:00
156.08,2020 01 21 07:00:00
324.85,2020 01 21 08:00:00
400.65,2020 01 21 09:00:00
495.39,2020 01 21 10:00:00
573.76,2020 01 21 11:00:00
525.96,2020 01 21 12:00:00
519.77,2020 01 21 13:00:00
512.84,2020 01 21 14:00:00
506.49,2020 01 21 15:00:00
518.43,2020 01 21 16:00:00
549.54,2020 01 21 17:00:00
467.21,2020 01 21 18:00:00
331.16,2020 01 21 19:00:00
302.61,2020 01 21 20:00:00
170.27,2020 01 21 21:00:00
39.12,2020 01 21 22:00:00
152.44,2020 01 21 23:00:00
87.28,2020 01 22 00:00:00
79.76,2020 01 22 01:00:00
59.37,2020 01 22 02:00:00
72.04,2020 01 22 03:00:00
95.75,2020 01 22 04:00:00
74.41,2020 01 22 05:00:00
162.6,2020 01 22 06:00:00
154.99,2020 01 22 07:00:00
233.51,2020 01 22 08:00:00
163.93,2020 01 22 09:00:00
283.97,2020 01 22 10:00:00
362.69,2020 01 22 11:00:00
401.78,2020 01 22 12:00:00
394.97,2020 01 22 13:00:00
385.49,2020 01 22 14:00:00
376.86,2020 01 22 15:00:00
387.06,2020 01 22 16:00:00
324.78,2020 01 22 17:00:00
319.63,2020 01 22 18:00:00
269.11,2020 01 22 19:00:00
247.04,2020 01 22 20:00:00
211.89,2020 01 22 21:00:00
56.94,2020 01 22 22:00:00
172.62,2020 01 22 23:00:00
69.53,2020 01 23 00:00:00
81.59,2020 01 23 01:00:00
83.39,2020 01 23 02:00:00
54.82,2020 01 23 03:00:00
97.41,2020 01 23 04:00:00
98.51,2020 01 23 05:00:00
209.49,2020 01 23 06:00:00
200.47,2020 01 23 07:00:00
414.23,2020 01 23 08:00:00
517.57,2020 01 23 09:00:00
492.88,2020 01 23 10:00:00
570.65,2020 01 23 11:00:00
519.95,2020 01 23 12:00:00
511.05,2020 01 23 13:00:00
501.6,2020 01 23 14:00:00
493.06,2020 01 23 15:00:00
503.34,2020 01 23 16:00:00
534.13,2020 01 23 17:00:00
500.69,2020 01 23 18:00:00
460.08,2020 01 23 19:00:00
386.53,2020 01 23 20:00:00
211.96,2020 01 23 21:00:00
59.76,2020 01 23 22:00:00
177.35,2020 01 23 23:00:00
93.23,2020 01 24 00:00:00
63.36,2020 01 24 01:00:00
81.31,2020 01 24 02:00:00
78.48,2020 01 24 03:00:00
119.78,2020 01 24 04:00:00
137.52,2020 01 24 05:00:00
251.16,2020 01 24 06:00:00
223.97,2020 01 24 07:00:00
414.73,2020 01 24 08:00:00
