power [kw],Time
293.94,2020 01 12 21:00:00
212.8,2020 01 12 22:00:00
137.69,2020 01 12 23:00:00
90.95,2020 01 13 00:00:00
87.83,2020 01 13 01:00:00
88.19,2020 01 13 02:00:00
94.33,2020 01 13 03:00:00
120.38,2020 01 13 04:00:00
174.8,2020 01 13 05:00:00
248.17,2020 01 13 06:00:00
232.64,2020 01 13 07:00:00
197.7,2020 01 13 08:00:00
148.16,2020 01 13 09:00:00
97.51,2020 01 13 10:00:00
87.18,2020 01 13 11:00:00
76.03,2020 01 13 12:00:00
70.43,2020 01 13 13:00:00
66.67,2020 01 13 14:00:00
83.44,2020 01 13 15:00:00
206.45,2020 01 13 16:00:00
323.12,2020 01 13 17:00:00
348.45,2020 01 13 18:00:00
336.19,2020 01 13 19:00:00
328.52,2020 01 13 20:00:00
256.29,2020 01 13 21:00:00
165.0,2020 01 13 22:00:00
88.41,2020 01 13 23:00:00
40.36,2020 01 14 00:00:00
31.33,2020 01 14 01:00:00
27.16,2020 01 14 02:00:00
25.94,2020 01 14 03:00:00
57.38,2020 01 14 04:00:00
120.58,2020 01 14 05:00:00
191.08,2020 01 14 06:00:00
170.82,2020 01 14 07:00:00
113.96,2020 01 14 08:00:00
75.99,2020 01 14 09:00:00
36.23,2020 01 14 10:00:00
36.55,2020 01 14 11:00:00
33.75,2020 01 14 12:00:00
28.7,2020 01 14 13:00:00
27.7,2020 01 14 14:00:00
46.45,2020 01 14 15:00:00
172.63,2020 01 14 16:00:00
322.06,2020 01 14 17:00:00
352.32,2020 01 14 18:00:00
342.03,2020 01 14 19:00:00
338.33,2020 01 14 20:00:00
271.35,2020 01 14 21:00:00
186.19,2020 01 14 22:00:00
113.85,2020 01 14 23:00:00
68.9,2020 01 15 00:00:00
63.42,2020 01 15 01:00:00
61.77,2020 01 15 02:00:00
64.75,2020 01 15 03:00:00
93.28,2020 01 15 04:00:00
150.88,2020 01 15 05:00:00
220.08,2020 01 15 06:00:00
197.46,2020 01 15 07:00:00
136.98,2020 01 15 08:00:00
101.02,2020 01 15 09:00:00
62.31,2020 01 15 10:00:00
60.09,2020 01 15 11:00:00
55.34,2020 01 15 12:00:00
47.68,2020 01 15 13:00:00
43.95,2020 01 15 14:00:00
61.02,2020 01 15 15:00:00
186.51,2020 01 15 16:00:00
335.44,2020 01 15 17:00:00
365.62,2020 01 15 18:00:00
359.34,2020 01 15 19:00:00
359.3,2020 01 15 20:00:00
292.3,2020 01 15 21:00:00
206.34,2020 01 15 22:00:00
132.21,2020 01 15 23:00:00
86.22,2020 01 16 00:00:00
80.19,2020 01 16 01:00:00
76.28,2020 01 16 02:00:00
72.7,2020 01 16 03:00:00
99.9,2020 01 16 04:00:00
155.78,2020 01 16 05:00:00
220.47,2020 01 16 06:00:00
198.08,2020 01 16 07:00:00
131.04,2020 01 16 08:00:00
86.85,2020 01 16 09:00:00
46.33,2020 01 16 10:00:00
45.12,2020 01 16 11:00:00
41.64,2020 01 16 12:00:00
39.38,2020 01 16 13:00:00
39.75,2020 01 16 14:00:00
56.93,2020 01 16 15:00:00
180.22,2020 01 16 16:00:00
327.79,2020 01 16 17:00:00
357.27,2020 01 16 18:00:00
346.89,2020 01 16 19:00:00
